# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: C:\Users\Eng.Yousef\Desktop\parking_system_pin_plan.csv
# Generated on: Sun Dec 09 20:24:43 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
c0[7],Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
c0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
c0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
c0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
c0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
c0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
c0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
c0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
c1[7],Output,PIN_A16,7,B7_N0,PIN_A16,2.5 V,,,,,
c1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
c1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
c1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
c1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
c1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
c1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
c1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
c2[7],Output,PIN_A19,7,B7_N0,PIN_A19,2.5 V,,,,,
c2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
c2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
c2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
c2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
c2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
c2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
c2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
c3[7],Output,PIN_D22,6,B6_N0,PIN_D22,2.5 V,,,,,
c3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
c3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
c3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
c3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
c3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
c3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
c3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
clk,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
counter[7],Output,PIN_F17,6,B6_N0,PIN_F17,2.5 V,,,,,
counter[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
counter[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
counter[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
counter[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
counter[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
counter[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
counter[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
echo1,Input,PIN_AB9,3,B3_N0,PIN_AB9,2.5 V,,,,,
echo2,Input,PIN_AA11,4,B4_N0,PIN_AA11,2.5 V,,,,,
echo3,Input,PIN_AB17,4,B4_N0,PIN_AB17,2.5 V,,,,,
echo4,Input,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
echoIn,Input,PIN_AB5,3,B3_N0,PIN_AB5,2.5 V,,,,,
echoOut,Input,PIN_AB7,3,B3_N0,PIN_AB7,2.5 V,,,,,
enterButton,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
green1,Output,PIN_V10,3,B3_N0,PIN_V10,2.5 V,,,,,
green2,Output,PIN_V7,3,B3_N0,PIN_V7,2.5 V,,,,,
green3,Output,PIN_AA14,4,B4_N0,PIN_AA14,2.5 V,,,,,
green4,Output,PIN_AB11,4,B4_N0,PIN_AB11,2.5 V,,,,,
in0,Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
in1,Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
in2,Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
